size,threads,search_k,build_time_s,build_qps,speedup,recall,query_latency_ms,query_qps
500000,8,5,27.208534042001702,18376.587258547337,3.9768656177493797,0.9616952922278512,0.14911581483611372,6706.196798099878
500000,8,10,27.208534042001702,18376.587258547337,3.9768656177493797,0.9591329361002671,0.14850031699752433,6733.99235919928
500000,8,20,27.208534042001702,18376.587258547337,3.9768656177493797,0.9525511762908646,0.14833783184003552,6741.368588145333
500000,8,50,27.208534042001702,18376.587258547337,3.9768656177493797,0.9386047992684341,0.15017364683735648,6658.9579534086715
500000,8,100,27.208534042001702,18376.587258547337,3.9768656177493797,0.9210109777891243,0.149893447390059,6671.405704598668
1000000,1,1,246.54846550000366,4055.9976634694776,1.0,0.9251,0.16035136475984474,6236.30488893987
1000000,1,5,246.54846550000366,4055.9976634694776,1.0,0.92754,0.16718961877340915,5981.232610831493
1000000,1,10,246.54846550000366,4055.9976634694776,1.0,0.92387,0.1657819881045725,6032.018384103445
1000000,1,20,246.54846550000366,4055.9976634694776,1.0,0.91361,0.16612838265136814,6019.441013270856
1000000,1,50,246.54846550000366,4055.9976634694776,1.0,0.890668,0.1670242048188811,5987.156179455469
1000000,1,100,246.54846550000366,4055.9976634694776,1.0,0.861417,0.16723174536891747,5979.7259054731185
1000000,4,1,82.53865637499257,12115.535240321387,2.9870666222124562,0.9368,0.1683755306643434,5939.105261045917
1000000,4,5,82.53865637499257,12115.535240321387,2.9870666222124562,0.9429,0.17308349629456643,5777.558354253055
1000000,4,10,82.53865637499257,12115.535240321387,2.9870666222124562,0.93885,0.17019045161723625,5875.7702943819195
1000000,4,20,82.53865637499257,12115.535240321387,2.9870666222124562,0.92989,0.1697656011063373,5890.474828134487
1000000,4,50,82.53865637499257,12115.535240321387,2.9870666222124562,0.907748,0.17018479670223313,5875.965534980588
1000000,4,100,82.53865637499257,12115.535240321387,2.9870666222124562,0.877928,0.16942663100198843,5902.259840061765
1000000,8,1,73.37185549997957,13629.204184433886,3.3602593776584033,0.9404,0.1723615061258897,5801.759467509051
1000000,8,5,73.37185549997957,13629.204184433886,3.3602593776584033,0.9443,0.1710451222897973,5846.410506262354
1000000,8,10,73.37185549997957,13629.204184433886,3.3602593776584033,0.94077,0.17009026627929416,5879.2311980861095
1000000,8,20,73.37185549997957,13629.204184433886,3.3602593776584033,0.931735,0.17027616982813926,5872.812390655169
1000000,8,50,73.37185549997957,13629.204184433886,3.3602593776584033,0.909842,0.17080473024980164,5854.63879447309
1000000,8,100,73.37185549997957,13629.204184433886,3.3602593776584033,0.879726,0.17065685711277184,5859.711803664529
