size,threads,ef_search,build_time_s,build_qps,speedup,recall,query_latency_ms,query_qps
100000,8,20,3.08372162503656,32428.348651222503,4.0166605505045565,0.9011538461538462,0.02725325946812518,36692.85874482567
100000,8,50,3.08372162503656,32428.348651222503,4.0166605505045565,0.9641346153846154,0.05254721068195067,19030.505844594485
100000,8,100,3.08372162503656,32428.348651222503,4.0166605505045565,0.9840384615384615,0.09465223429724573,10564.99096323074
100000,8,200,3.08372162503656,32428.348651222503,4.0166605505045565,0.9913461538461539,0.1660145420115441,6023.568705990005
100000,8,500,3.08372162503656,32428.348651222503,4.0166605505045565,0.995,0.3668048620049376,2726.245215327977
500000,1,10,101.71666404197458,4915.615398020418,1.0,0.6881241010889665,0.022899386798962952,43669.29161811823
500000,1,20,101.71666404197458,4915.615398020418,1.0,0.8066159852064927,0.0361311613523867,27676.94041846633
500000,1,50,101.71666404197458,4915.615398020418,1.0,0.9134579823299774,0.07138813703786581,14007.929629394563
500000,1,100,101.71666404197458,4915.615398020418,1.0,0.9573248407643312,0.12386509595671669,8073.29936069673
500000,1,200,101.71666404197458,4915.615398020418,1.0,0.9775631806040682,0.23188532759668304,4312.476388067531
500000,1,500,101.71666404197458,4915.615398020418,1.0,0.9899938360386275,0.5066792843048461,1973.6350606320527
500000,4,10,33.42288812500192,14959.808324463022,3.04332359494348,0.6895418122046435,0.02440396956517361,40976.94013793063
500000,4,20,33.42288812500192,14959.808324463022,3.04332359494348,0.8042325868091227,0.03830439417506568,26106.665345746467
500000,4,50,33.42288812500192,14959.808324463022,3.04332359494348,0.9110951304705157,0.07388814975856804,13533.96997038812
500000,4,100,33.42288812500192,14959.808324463022,3.04332359494348,0.9531538935689337,0.127376999653643,7850.710903217604
500000,4,200,33.42288812500192,14959.808324463022,3.04332359494348,0.9755496198890486,0.23206425734097139,4309.151316355895
500000,4,500,33.42288812500192,14959.808324463022,3.04332359494348,0.9885761249229504,0.5112328278890345,1956.0559209962446
500000,8,10,26.734787500055972,18702.224582819414,3.804655789456401,0.6921923155948223,0.023678529029712084,42232.353147663394
500000,8,20,26.734787500055972,18702.224582819414,3.804655789456401,0.810149989726731,0.03741711627226323,26725.736765055986
500000,8,50,26.734787500055972,18702.224582819414,3.804655789456401,0.917402917608383,0.0731558368948754,13669.449253065008
500000,8,100,26.734787500055972,18702.224582819414,3.804655789456401,0.9578179576741319,0.12764091365388594,7834.478549030315
500000,8,200,26.734787500055972,18702.224582819414,3.804655789456401,0.9787548798027532,0.22602518300409427,4424.285766342619
500000,8,500,26.734787500055972,18702.224582819414,3.804655789456401,0.9895212656667352,0.5098839222220705,1961.23069666917
1000000,1,10,225.47734312497778,4435.035405955263,1.0,0.62626,0.026918730948818848,37148.853781455044
1000000,1,20,225.47734312497778,4435.035405955263,1.0,0.75399,0.04252195368753746,23517.26374917446
1000000,1,50,225.47734312497778,4435.035405955263,1.0,0.87103,0.08056282186298631,12412.673450052509
1000000,1,100,225.47734312497778,4435.035405955263,1.0,0.92387,0.1407682263117749,7103.875826247819
1000000,1,200,225.47734312497778,4435.035405955263,1.0,0.95175,0.25144277752842753,3977.0480179608353
1000000,1,500,225.47734312497778,4435.035405955263,1.0,0.96823,0.5545605943305417,1803.2294581031074
1000000,4,10,88.1879072910524,11339.42317850489,2.5567830108590734,0.63762,0.02924093558685854,34198.63215489657
1000000,4,20,88.1879072910524,11339.42317850489,2.5567830108590734,0.76501,0.05816387831582688,17192.80125321168
1000000,4,50,88.1879072910524,11339.42317850489,2.5567830108590734,0.88407,0.0863102790841367,11586.105509231214
1000000,4,100,88.1879072910524,11339.42317850489,2.5567830108590734,0.93614,0.14904589686193503,6709.34269949293
1000000,4,200,88.1879072910524,11339.42317850489,2.5567830108590734,0.96504,0.2571483144769445,3888.8063568842035
1000000,4,500,88.1879072910524,11339.42317850489,2.5567830108590734,0.98181,0.5751356828957795,1738.7201485483386
1000000,8,10,68.16274054197129,14670.771627561671,3.3079266081759116,0.64331,0.028166825138032436,35502.758834177
1000000,8,20,68.16274054197129,14670.771627561671,3.3079266081759116,0.76797,0.0434526787372306,23013.540915331236
1000000,8,50,68.16274054197129,14670.771627561671,3.3079266081759116,0.88888,0.08291211678297258,12060.963328406626
1000000,8,100,68.16274054197129,14670.771627561671,3.3079266081759116,0.94255,0.14343950765323824,6971.579980722447
1000000,8,200,68.16274054197129,14670.771627561671,3.3079266081759116,0.97156,0.2552479916077573,3917.7585441561955
1000000,8,500,68.16274054197129,14670.771627561671,3.3079266081759116,0.9875,0.5732769245223608,1744.357669433797
